架构,优化级别,矩阵大小,算法,执行时间(秒)
arm64,O2,2500,算法2_展开,0.031704
arm64,O2,2600,算法1,0.114231
arm64,O2,2600,算法1_展开,0.123044
arm64,O2,2600,算法2,0.041932
arm64,O2,2600,算法2_展开,0.034666
arm64,O2,2700,算法1,0.125640
arm64,O2,2700,算法1_展开,0.099810
arm64,O2,2700,算法2,0.044777
arm64,O2,2700,算法2_展开,0.037264
arm64,O2,2800,算法1,0.137924
arm64,O2,2800,算法1_展开,0.142930
arm64,O2,2800,算法2,0.048880
arm64,O2,2800,算法2_展开,0.041450
arm64,O2,2900,算法1,0.146469
arm64,O2,2900,算法1_展开,0.161324
arm64,O2,2900,算法2,0.051478
arm64,O2,2900,算法2_展开,0.043399
arm64,O2,3000,算法1,0.150769
arm64,O2,3000,算法1_展开,0.171786
arm64,O2,3000,算法2,0.056068
arm64,O2,3000,算法2_展开,0.046315
arm64,O2,3100,算法1,0.168721
arm64,O2,3100,算法1_展开,0.413589
arm64,O2,3100,算法2,0.061864
arm64,O2,3100,算法2_展开,0.049742
arm64,O2,3200,算法1,0.168812
arm64,O2,3200,算法1_展开,0.171784
arm64,O2,3200,算法2,0.063124
arm64,O2,3200,算法2_展开,0.053476
arm64,O2,3300,算法1,0.189185
arm64,O2,3300,算法1_展开,0.177447
arm64,O2,3300,算法2,0.066622
arm64,O2,3300,算法2_展开,0.056126
arm64,O2,3400,算法1,0.200221
arm64,O2,3400,算法1_展开,0.190195
arm64,O2,3400,算法2,0.070765
arm64,O2,3400,算法2_展开,0.059464
arm64,O2,3500,算法1,0.213670
arm64,O2,3500,算法1_展开,0.200293
arm64,O2,3500,算法2,0.075462
arm64,O2,3500,算法2_展开,0.063048
arm64,O2,3600,算法1,0.232953
arm64,O2,3600,算法1_展开,0.207011
arm64,O2,3600,算法2,0.079930
arm64,O2,3600,算法2_展开,0.067014
arm64,O2,3700,算法1,0.486862
arm64,O2,3700,算法1_展开,0.205476
arm64,O2,3700,算法2,0.084307
arm64,O2,3700,算法2_展开,0.069729
arm64,O2,3800,算法1,0.278036
arm64,O2,3800,算法1_展开,0.220483
arm64,O2,3800,算法2,0.090622
arm64,O2,3800,算法2_展开,0.073681
arm64,O2,3900,算法1,0.298065
arm64,O2,3900,算法1_展开,0.249050
arm64,O2,3900,算法2,0.093803
arm64,O2,3900,算法2_展开,0.077415
arm64,O2,4000,算法1,0.317691
arm64,O2,4000,算法1_展开,0.256428
arm64,O2,4000,算法2,0.099417
arm64,O2,4000,算法2_展开,0.081736
arm64,O3,100,算法1,0.000111
arm64,O3,100,算法1_展开,0.000067
arm64,O3,100,算法2,0.000063
arm64,O3,100,算法2_展开,0.000063
arm64,O3,200,算法1,0.000248
arm64,O3,200,算法1_展开,0.000227
arm64,O3,200,算法2,0.000293
arm64,O3,200,算法2_展开,0.000197
arm64,O3,300,算法1,0.000654
arm64,O3,300,算法1_展开,0.000492
arm64,O3,300,算法2,0.000474
arm64,O3,300,算法2_展开,0.000439
arm64,O3,400,算法1,0.001032
arm64,O3,400,算法1_展开,0.001124
arm64,O3,400,算法2,0.000787
arm64,O3,400,算法2_展开,0.000884
arm64,O3,500,算法1,0.002061
arm64,O3,500,算法1_展开,0.002054
arm64,O3,500,算法2,0.001208
arm64,O3,500,算法2_展开,0.001220
arm64,O3,600,算法1,0.003508
arm64,O3,600,算法1_展开,0.002682
arm64,O3,600,算法2,0.001840
arm64,O3,600,算法2_展开,0.001688
arm64,O3,700,算法1,0.006014
arm64,O3,700,算法1_展开,0.005592
arm64,O3,700,算法2,0.002442
arm64,O3,700,算法2_展开,0.002297
arm64,O3,800,算法1,0.008403
arm64,O3,800,算法1_展开,0.008237
arm64,O3,800,算法2,0.003067
arm64,O3,800,算法2_展开,0.003068
arm64,O3,900,算法1,0.010683
arm64,O3,900,算法1_展开,0.009863
arm64,O3,900,算法2,0.003955
arm64,O3,900,算法2_展开,0.003763
arm64,O3,1000,算法1,0.013572
arm64,O3,1000,算法1_展开,0.012310
arm64,O3,1000,算法2,0.004899
arm64,O3,1000,算法2_展开,0.004780
arm64,O3,1100,算法1,0.017412
arm64,O3,1100,算法1_展开,0.264971
arm64,O3,1100,算法2,0.005921
arm64,O3,1100,算法2_展开,0.005819
arm64,O3,1200,算法1,0.021882
arm64,O3,1200,算法1_展开,0.025581
arm64,O3,1200,算法2,0.007133
arm64,O3,1200,算法2_展开,0.006865
arm64,O3,1300,算法1,0.025325
arm64,O3,1300,算法1_展开,0.036224
arm64,O3,1300,算法2,0.008551
arm64,O3,1300,算法2_展开,0.008522
arm64,O3,1400,算法1,0.029775
arm64,O3,1400,算法1_展开,0.031076
arm64,O3,1400,算法2,0.009731
arm64,O3,1400,算法2_展开,0.009169
arm64,O3,1500,算法1,0.036078
arm64,O3,1500,算法1_展开,0.048769
arm64,O3,1500,算法2,0.011077
arm64,O3,1500,算法2_展开,0.010936
arm64,O3,1600,算法1,0.043017
arm64,O3,1600,算法1_展开,0.052531
arm64,O3,1600,算法2,0.012876
arm64,O3,1600,算法2_展开,0.012106
arm64,O3,1700,算法1,0.049043
arm64,O3,1700,算法1_展开,0.061496
arm64,O3,1700,算法2,0.014109
arm64,O3,1700,算法2_展开,0.013655
arm64,O3,1800,算法1,0.056985
arm64,O3,1800,算法1_展开,0.069060
arm64,O3,1800,算法2,0.015963
arm64,O3,1800,算法2_展开,0.015189
arm64,O3,1900,算法1,0.059057
arm64,O3,1900,算法1_展开,0.074808
arm64,O3,1900,算法2,0.017758
arm64,O3,1900,算法2_展开,0.017101
arm64,O3,2000,算法1,0.068743
arm64,O3,2000,算法1_展开,0.087532
arm64,O3,2000,算法2,0.020152
arm64,O3,2000,算法2_展开,0.019049
arm64,O3,2100,算法1,0.075490
arm64,O3,2100,算法1_展开,0.085771
arm64,O3,2100,算法2,0.021538
arm64,O3,2100,算法2_展开,0.021214
arm64,O3,2200,算法1,0.081599
arm64,O3,2200,算法1_展开,0.098483
arm64,O3,2200,算法2,0.023769
arm64,O3,2200,算法2_展开,0.022748
arm64,O3,2300,算法1,0.091938
arm64,O3,2300,算法1_展开,0.107059
arm64,O3,2300,算法2,0.025850
arm64,O3,2300,算法2_展开,0.025041
arm64,O3,2400,算法1,0.101261
arm64,O3,2400,算法1_展开,0.111812
arm64,O3,2400,算法2,0.028284
arm64,O3,2400,算法2_展开,0.027463
arm64,O3,2500,算法1,0.106166
arm64,O3,2500,算法1_展开,0.124079
arm64,O3,2500,算法2,0.030311
arm64,O3,2500,算法2_展开,0.029597
arm64,O3,2600,算法1,0.118071
arm64,O3,2600,算法1_展开,0.125258
arm64,O3,2600,算法2,0.032847
arm64,O3,2600,算法2_展开,0.031484
arm64,O3,2700,算法1,0.369232
arm64,O3,2700,算法1_展开,0.101799
arm64,O3,2700,算法2,0.035697
arm64,O3,2700,算法2_展开,0.034711
arm64,O3,2800,算法1,0.136143
arm64,O3,2800,算法1_展开,0.136757
arm64,O3,2800,算法2,0.038621
arm64,O3,2800,算法2_展开,0.036933
arm64,O3,2900,算法1,0.147399
arm64,O3,2900,算法1_展开,0.160260
arm64,O3,2900,算法2,0.040961
arm64,O3,2900,算法2_展开,0.040154
arm64,O3,3000,算法1,0.156529
arm64,O3,3000,算法1_展开,0.173709
arm64,O3,3000,算法2,0.044208
arm64,O3,3000,算法2_展开,0.042532
arm64,O3,3100,算法1,0.168684
arm64,O3,3100,算法1_展开,0.169084
arm64,O3,3100,算法2,0.046779
arm64,O3,3100,算法2_展开,0.045463
arm64,O3,3200,算法1,0.180216
arm64,O3,3200,算法1_展开,0.187493
arm64,O3,3200,算法2,0.050272
arm64,O3,3200,算法2_展开,0.048778
arm64,O3,3300,算法1,0.192577
arm64,O3,3300,算法1_展开,0.178891
arm64,O3,3300,算法2,0.053269
arm64,O3,3300,算法2_展开,0.053086
arm64,O3,3400,算法1,0.449603
arm64,O3,3400,算法1_展开,0.201281
arm64,O3,3400,算法2,0.057569
arm64,O3,3400,算法2_展开,0.054731
arm64,O3,3500,算法1,0.221780
arm64,O3,3500,算法1_展开,0.200638
arm64,O3,3500,算法2,0.060419
arm64,O3,3500,算法2_展开,0.059202
arm64,O3,3600,算法1,0.234945
arm64,O3,3600,算法1_展开,0.209323
arm64,O3,3600,算法2,0.064455
arm64,O3,3600,算法2_展开,0.062139
arm64,O3,3700,算法1,0.257766
arm64,O3,3700,算法1_展开,0.221541
arm64,O3,3700,算法2,0.067073
arm64,O3,3700,算法2_展开,0.065531
arm64,O3,3800,算法1,0.269326
arm64,O3,3800,算法1_展开,0.228888
arm64,O3,3800,算法2,0.070537
arm64,O3,3800,算法2_展开,0.067913
arm64,O3,3900,算法1,0.537616
arm64,O3,3900,算法1_展开,0.235633
arm64,O3,3900,算法2,0.074654
arm64,O3,3900,算法2_展开,0.071689
arm64,O3,4000,算法1,0.322943
arm64,O3,4000,算法1_展开,0.261538
arm64,O3,4000,算法2,0.078536
arm64,O3,4000,算法2_展开,0.075372
arm64,O3_native,100,算法1,0.000087
arm64,O3_native,100,算法1_展开,0.000069
arm64,O3_native,100,算法2,0.000065
arm64,O3_native,100,算法2_展开,0.000062
arm64,O3_native,200,算法1,0.000252
arm64,O3_native,200,算法1_展开,0.000230
arm64,O3_native,200,算法2,0.000196
arm64,O3_native,200,算法2_展开,0.000204
arm64,O3_native,300,算法1,0.000610
arm64,O3_native,300,算法1_展开,0.000532
arm64,O3_native,300,算法2,0.000465
arm64,O3_native,300,算法2_展开,0.000437
arm64,O3_native,400,算法1,0.001034
arm64,O3_native,400,算法1_展开,0.000868
arm64,O3_native,400,算法2,0.000783
arm64,O3_native,400,算法2_展开,0.000868
arm64,O3_native,500,算法1,0.001727
arm64,O3_native,500,算法1_展开,0.001780
arm64,O3_native,500,算法2,0.001212
arm64,O3_native,500,算法2_展开,0.001239
arm64,O3_native,600,算法1,0.002876
arm64,O3_native,600,算法1_展开,0.002654
arm64,O3_native,600,算法2,0.001735
arm64,O3_native,600,算法2_展开,0.001810
arm64,O3_native,700,算法1,0.006403
arm64,O3_native,700,算法1_展开,0.005339
arm64,O3_native,700,算法2,0.002368
arm64,O3_native,700,算法2_展开,0.002315
arm64,O3_native,800,算法1,0.008933
arm64,O3_native,800,算法1_展开,0.008163
arm64,O3_native,800,算法2,0.003150
arm64,O3_native,800,算法2_展开,0.003261
arm64,O3_native,900,算法1,0.010742
arm64,O3_native,900,算法1_展开,0.010310
arm64,O3_native,900,算法2,0.004043
arm64,O3_native,900,算法2_展开,0.003819
arm64,O3_native,1000,算法1,0.013426
arm64,O3_native,1000,算法1_展开,0.013908
arm64,O3_native,1000,算法2,0.004797
arm64,O3_native,1000,算法2_展开,0.004805
arm64,O3_native,1100,算法1,0.018172
arm64,O3_native,1100,算法1_展开,0.025469
arm64,O3_native,1100,算法2,0.006095
arm64,O3_native,1100,算法2_展开,0.005764
arm64,O3_native,1200,算法1,0.020808
arm64,O3_native,1200,算法1_展开,0.024450
arm64,O3_native,1200,算法2,0.007039
arm64,O3_native,1200,算法2_展开,0.007186
arm64,O3_native,1300,算法1,0.025846
arm64,O3_native,1300,算法1_展开,0.034581
arm64,O3_native,1300,算法2,0.008412
arm64,O3_native,1300,算法2_展开,0.008163
arm64,O3_native,1400,算法1,0.029829
arm64,O3_native,1400,算法1_展开,0.037625
arm64,O3_native,1400,算法2,0.009774
arm64,O3_native,1400,算法2_展开,0.009332
arm64,O3_native,1500,算法1,0.037180
arm64,O3_native,1500,算法1_展开,0.048467
arm64,O3_native,1500,算法2,0.011252
arm64,O3_native,1500,算法2_展开,0.010595
arm64,O3_native,1600,算法1,0.041957
arm64,O3_native,1600,算法1_展开,0.052124
arm64,O3_native,1600,算法2,0.013084
arm64,O3_native,1600,算法2_展开,0.012451
arm64,O3_native,1700,算法1,0.049918
arm64,O3_native,1700,算法1_展开,0.057193
arm64,O3_native,1700,算法2,0.014136
arm64,O3_native,1700,算法2_展开,0.013656
arm64,O3_native,1800,算法1,0.055276
arm64,O3_native,1800,算法1_展开,0.066602
arm64,O3_native,1800,算法2,0.016126
arm64,O3_native,1800,算法2_展开,0.015208
arm64,O3_native,1900,算法1,0.062999
arm64,O3_native,1900,算法1_展开,0.071070
arm64,O3_native,1900,算法2,0.017714
arm64,O3_native,1900,算法2_展开,0.017272
arm64,O3_native,2000,算法1,0.070078
arm64,O3_native,2000,算法1_展开,0.083265
arm64,O3_native,2000,算法2,0.019719
arm64,O3_native,2000,算法2_展开,0.019410
arm64,O3_native,2100,算法1,0.079661
arm64,O3_native,2100,算法1_展开,0.331113
arm64,O3_native,2100,算法2,0.021510
arm64,O3_native,2100,算法2_展开,0.020881
arm64,O3_native,2200,算法1,0.086919
arm64,O3_native,2200,算法1_展开,0.096079
arm64,O3_native,2200,算法2,0.024857
arm64,O3_native,2200,算法2_展开,0.023296
arm64,O3_native,2300,算法1,0.092045
arm64,O3_native,2300,算法1_展开,0.103340
arm64,O3_native,2300,算法2,0.025633
arm64,O3_native,2300,算法2_展开,0.025330
arm64,O3_native,2400,算法1,0.105027
arm64,O3_native,2400,算法1_展开,0.112059
arm64,O3_native,2400,算法2,0.028497
arm64,O3_native,2400,算法2_展开,0.027384
arm64,O3_native,2500,算法1,0.113171
arm64,O3_native,2500,算法1_展开,0.120843
arm64,O3_native,2500,算法2,0.030317
arm64,O3_native,2500,算法2_展开,0.029114
arm64,O3_native,2600,算法1,0.122171
arm64,O3_native,2600,算法1_展开,0.132384
arm64,O3_native,2600,算法2,0.032898
arm64,O3_native,2600,算法2_展开,0.031827
arm64,O3_native,2700,算法1,0.130829
arm64,O3_native,2700,算法1_展开,0.105381
arm64,O3_native,2700,算法2,0.037273
arm64,O3_native,2700,算法2_展开,0.034703
arm64,O3_native,2800,算法1,0.139219
arm64,O3_native,2800,算法1_展开,0.139854
arm64,O3_native,2800,算法2,0.037914
arm64,O3_native,2800,算法2_展开,0.036970
arm64,O3_native,2900,算法1,0.144354
arm64,O3_native,2900,算法1_展开,0.161650
arm64,O3_native,2900,算法2,0.040811
arm64,O3_native,2900,算法2_展开,0.039884
arm64,O3_native,3000,算法1,0.159420
arm64,O3_native,3000,算法1_展开,0.421474
arm64,O3_native,3000,算法2,0.043448
arm64,O3_native,3000,算法2_展开,0.042304
arm64,O3_native,3100,算法1,0.165019
arm64,O3_native,3100,算法1_展开,0.178466
arm64,O3_native,3100,算法2,0.046662
arm64,O3_native,3100,算法2_展开,0.045027
arm64,O3_native,3200,算法1,0.177610
arm64,O3_native,3200,算法1_展开,0.182168
arm64,O3_native,3200,算法2,0.050097
arm64,O3_native,3200,算法2_展开,0.048603
arm64,O3_native,3300,算法1,0.188902
arm64,O3_native,3300,算法1_展开,0.189759
arm64,O3_native,3300,算法2,0.053275
arm64,O3_native,3300,算法2_展开,0.051098
arm64,O3_native,3400,算法1,0.201663
arm64,O3_native,3400,算法1_展开,0.196028
arm64,O3_native,3400,算法2,0.056754
arm64,O3_native,3400,算法2_展开,0.055263
arm64,O3_native,3500,算法1,0.206621
arm64,O3_native,3500,算法1_展开,0.204322
arm64,O3_native,3500,算法2,0.060149
arm64,O3_native,3500,算法2_展开,0.058090
arm64,O3_native,3600,算法1,0.237684
arm64,O3_native,3600,算法1_展开,0.453915
arm64,O3_native,3600,算法2,0.063357
arm64,O3_native,3600,算法2_展开,0.060005
arm64,O3_native,3700,算法1,0.197672
arm64,O3_native,3700,算法1_展开,0.180678
arm64,O3_native,3700,算法2,0.065948
arm64,O3_native,3700,算法2_展开,0.064180
arm64,O3_native,3800,算法1,0.209214
arm64,O3_native,3800,算法1_展开,0.187034
arm64,O3_native,3800,算法2,0.069748
arm64,O3_native,3800,算法2_展开,0.066647
arm64,O3_native,3900,算法1,0.227607
arm64,O3_native,3900,算法1_展开,0.209775
arm64,O3_native,3900,算法2,0.073154
arm64,O3_native,3900,算法2_展开,0.073981
arm64,O3_native,4000,算法1,0.247386
arm64,O3_native,4000,算法1_展开,0.219510
arm64,O3_native,4000,算法2,0.076799
arm64,O3_native,4000,算法2_展开,0.076272
